MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
12/22/2017 Hawks at Thunder,21700477,2017-18,2017-12-22, Thunder,1610612760, Hawks,1610612737
12/20/2017 Pacers at Hawks,21700455,2017-18,2017-12-20, Hawks,1610612737, Pacers,1610612754
12/18/2017 Heat at Hawks,21700443,2017-18,2017-12-18, Hawks,1610612737, Heat,1610612748
12/15/2017 Hawks at Grizzlies,21700425,2017-18,2017-12-15, Grizzlies,1610612763, Hawks,1610612737
12/14/2017 Pistons at Hawks,21700413,2017-18,2017-12-14, Hawks,1610612737, Pistons,1610612765
12/12/2017 Hawks at Cavaliers,21700397,2017-18,2017-12-12, Cavaliers,1610612739, Hawks,1610612737
12/10/2017 Hawks at Knicks,21700390,2017-18,2017-12-10, Knicks,1610612752, Hawks,1610612737
12/09/2017 Magic at Hawks,21700378,2017-18,2017-12-09, Hawks,1610612737, Magic,1610612753
12/06/2017 Hawks at Magic,21700355,2017-18,2017-12-06, Magic,1610612753, Hawks,1610612737
12/04/2017 Nets at Hawks,21700342,2017-18,2017-12-04, Hawks,1610612737, Nets,1610612751
12/02/2017 Hawks at Nets,21700328,2017-18,2017-12-02, Nets,1610612751, Hawks,1610612737
11/30/2017 Cavaliers at Hawks,21700313,2017-18,2017-11-30, Hawks,1610612737, Cavaliers,1610612739
11/25/2017 Raptors at Hawks,21700280,2017-18,2017-11-25, Hawks,1610612737, Raptors,1610612761
11/24/2017 Knicks at Hawks,21700268,2017-18,2017-11-24, Hawks,1610612737, Knicks,1610612752
11/22/2017 Clippers at Hawks,21700256,2017-18,2017-11-22, Hawks,1610612737, Clippers,1610612746
11/20/2017 Hawks at Spurs,21700250,2017-18,2017-11-20, Spurs,1610612759, Hawks,1610612737
11/18/2017 Celtics at Hawks,21700230,2017-18,2017-11-18, Hawks,1610612737, Celtics,1610612738
11/15/2017 Kings at Hawks,21700204,2017-18,2017-11-15, Hawks,1610612737, Kings,1610612758
11/13/2017 Hawks at Pelicans,21700195,2017-18,2017-11-13, Pelicans,1610612740, Hawks,1610612737
11/11/2017 Hawks at Wizards,21700177,2017-18,2017-11-11, Wizards,1610612764, Hawks,1610612737
11/10/2017 Hawks at Pistons,21700169,2017-18,2017-11-10, Pistons,1610612765, Hawks,1610612737
11/06/2017 Celtics at Hawks,21700146,2017-18,2017-11-06, Hawks,1610612737, Celtics,1610612738
11/05/2017 Hawks at Cavaliers,21700136,2017-18,2017-11-05, Cavaliers,1610612739, Hawks,1610612737
11/03/2017 Rockets at Hawks,21700123,2017-18,2017-11-03, Hawks,1610612737, Rockets,1610612745
11/01/2017 Hawks at 76ers,21700107,2017-18,2017-11-01, 76ers,1610612755, Hawks,1610612737
10/29/2017 Bucks at Hawks,21700085,2017-18,2017-10-29, Hawks,1610612737, Bucks,1610612749
10/27/2017 Nuggets at Hawks,21700072,2017-18,2017-10-27, Hawks,1610612737, Nuggets,1610612743
10/26/2017 Hawks at Bulls,21700065,2017-18,2017-10-26, Bulls,1610612741, Hawks,1610612737
10/23/2017 Hawks at Heat,21700042,2017-18,2017-10-23, Heat,1610612748, Hawks,1610612737
10/22/2017 Hawks at Nets,21700038,2017-18,2017-10-22, Nets,1610612751, Hawks,1610612737
10/20/2017 Hawks at Hornets,21700017,2017-18,2017-10-20, Hornets,1610612766, Hawks,1610612737
10/18/2017 Hawks at Mavericks,21700009,2017-18,2017-10-18, Mavericks,1610612742, Hawks,1610612737
04/11/2018 Nets at Celtics,21701219,2017-18,2018-04-11, Celtics,1610612738, Nets,1610612751
04/10/2018 Celtics at Wizards,21701215,2017-18,2018-04-10, Wizards,1610612764, Celtics,1610612738
