GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF
0022300001,1610612754,IND,121,45,86,0.523,15,31,0.484,16,24,0.667,40,28,7,5,18,18
0022300001,1610612739,CLE,116,44,84,0.524,8,28,0.286,20,25,0.8,35,27,10,9,13,20
