HOME_TEAM_ID,GAME_ID,SEASON,HOME_W,HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_LAST_GAME_FG_PCT,HOME_LAST_GAME_TOT_REB,HOME_LAST_GAME_TURNOVERS,AWAY_TEAM_ID,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_LAST_GAME_FG_PCT,AWAY_LAST_GAME_TOT_REB,AWAY_LAST_GAME_TURNOVERS
1610612749,22100344,2021-22,1,0.48,,7.0,0.0,194.22727272727272,5.333333333333333,0.5630650829663241,0.376,59.0,15.0,1610612748,0.6146788990825688,,7.0,1.0,176.36363636363637,-8.666666666666666,0.5738323603002502,0.531,43.0,13.0
1610612749,22100358,2021-22,1,0.608,1.0,7.0,,185.7826086956522,6.666666666666667,0.5595170603674541,0.449,66.0,14.0,1610612739,0.5636363636363636,0.0,7.0,,35.608695652173914,13.333333333333334,0.5818181818181818,0.462,51.0,14.0
1610612749,22100421,2021-22,1,0.5391304347826087,,7.0,0.0,152.75,3.3333333333333335,0.5701382196776449,0.444,50.0,14.0,1610612754,0.51,0.0,7.0,,207.96428571428572,10.333333333333334,0.5815942028985507,0.402,52.0,10.0
1610612749,22100446,2021-22,0,0.5041322314049587,,7.0,0.0,142.6,-1.0,0.5495086080274347,0.433,51.0,13.0,1610612739,0.6228070175438597,1.0,7.0,,28.379310344827587,20.0,0.5735748690882426,0.563,49.0,17.0
1610612749,22100473,2021-22,1,0.4774774774774775,0.0,7.0,,138.0,-6.0,0.5289576222590576,0.393,49.0,17.0,1610612745,0.6339285714285714,,7.0,0.0,95.8,-6.333333333333333,0.5936204061204061,0.564,41.0,14.0
1610612749,22100489,2021-22,1,0.5526315789473685,,7.0,1.0,129.66666666666666,-0.6666666666666666,0.536207151039687,0.451,54.0,12.0,1610612738,0.5726495726495726,1.0,7.0,,15.387096774193548,4.0,0.5540521752911133,0.467,53.0,13.0
1610612749,22100539,2021-22,1,0.6052631578947368,,7.0,1.0,118.94444444444444,13.0,0.6125092580573732,0.495,60.0,13.0,1610612740,0.5504587155963303,1.0,7.0,,34.411764705882355,1.6666666666666667,0.5481687782146498,0.45,56.0,13.0
1610612749,22100556,2021-22,0,0.5891472868217055,1.0,7.0,,115.75675675675676,19.333333333333332,0.6112515690038415,0.533,55.0,14.0,1610612765,0.5,1.0,7.0,,278.90909090909093,-14.333333333333334,0.4744084983099952,0.406,73.0,21.0
1610612749,22100573,2021-22,0,0.5454545454545454,0.0,7.0,,112.73684210526316,10.666666666666666,0.5799549967236626,0.424,53.0,8.0,1610612761,0.6147540983606558,1.0,7.0,,252.40625,11.666666666666666,0.572332697767922,0.469,57.0,12.0
1610612749,22100627,2021-22,1,0.5081967213114754,,7.0,0.0,102.02380952380952,0.0,0.5244713708719411,0.44,57.0,20.0,1610612744,0.5,,7.0,0.0,64.61538461538461,0.3333333333333333,0.5218916857360792,0.427,52.0,17.0
